Giornata,Squadra_Casa,Squadra_Trasferta,ID_Partita,Stato
1,Inter,Monza,14500001,unstarted
1,Torino,Milan,14500002,unstarted
1,Genoa,Napoli,14500003,unstarted
1,Bologna,Lazio,14500004,unstarted
1,AS Roma,Fiorentina,14500005,unstarted
1,Atalanta,Sassuolo,14500006,unstarted
1,Udinese,Como,14500007,unstarted
1,Parma,Cagliari,14500008,unstarted
1,Venezia,Lecce,14500009,unstarted
1,Frosinone,Juventus,14500010,unstarted
2,AC Milan,Venezia,14500011,unstarted
2,Juventus,Parma,14500012,unstarted
2,Napoli,Como,14500013,unstarted
2,Lazio,Genoa,14500014,unstarted
2,Inter,Cagliari,14500015,unstarted
2,Atalanta,Bologna,14500016,unstarted
2,Fiorentina,Frosinone,14500017,unstarted
2,Monza,Udinese,14500018,unstarted
2,Lecce,AS Roma,14500019,unstarted
2,Sassuolo,Torino,14500020,unstarted
3,Atalanta,Juventus,14500021,unstarted
3,Bologna,AC Milan,14500022,unstarted
3,AS Roma,Inter,14500023,unstarted
3,Lazio,Venezia,14500024,unstarted
3,Fiorentina,Como,14500025,unstarted
3,Torino,Parma,14500026,unstarted
3,Napoli,Empoli,14500027,unstarted
3,Genoa,Cagliari,14500028,unstarted
3,Monza,Udinese,14500029,unstarted
3,Verona,Lecce,14500030,unstarted
4,Bologna,Atalanta,14500031,unstarted
4,AS Roma,Juventus,14500032,unstarted
4,Lazio,AC Milan,14500033,unstarted
4,Fiorentina,Inter,14500034,unstarted
4,Torino,Venezia,14500035,unstarted
4,Napoli,Como,14500036,unstarted
4,Genoa,Parma,14500037,unstarted
4,Monza,Empoli,14500038,unstarted
4,Verona,Cagliari,14500039,unstarted
4,Lecce,Udinese,14500040,unstarted
5,AS Roma,Bologna,14500041,unstarted
5,Lazio,Atalanta,14500042,unstarted
5,Fiorentina,Juventus,14500043,unstarted
5,Torino,AC Milan,14500044,unstarted
5,Napoli,Inter,14500045,unstarted
5,Genoa,Venezia,14500046,unstarted
5,Monza,Como,14500047,unstarted
5,Verona,Parma,14500048,unstarted
5,Lecce,Empoli,14500049,unstarted
5,Udinese,Cagliari,14500050,unstarted
6,Lazio,AS Roma,14500051,unstarted
6,Fiorentina,Bologna,14500052,unstarted
6,Torino,Atalanta,14500053,unstarted
6,Napoli,Juventus,14500054,unstarted
6,Genoa,AC Milan,14500055,unstarted
6,Monza,Inter,14500056,unstarted
6,Verona,Venezia,14500057,unstarted
6,Lecce,Como,14500058,unstarted
6,Udinese,Parma,14500059,unstarted
6,Cagliari,Empoli,14500060,unstarted
7,Fiorentina,Lazio,14500061,unstarted
7,Torino,AS Roma,14500062,unstarted
7,Napoli,Bologna,14500063,unstarted
7,Genoa,Atalanta,14500064,unstarted
7,Monza,Juventus,14500065,unstarted
7,Verona,AC Milan,14500066,unstarted
7,Lecce,Inter,14500067,unstarted
7,Udinese,Venezia,14500068,unstarted
7,Cagliari,Como,14500069,unstarted
7,Empoli,Parma,14500070,unstarted
8,Torino,Fiorentina,14500071,unstarted
8,Napoli,Lazio,14500072,unstarted
8,Genoa,AS Roma,14500073,unstarted
8,Monza,Bologna,14500074,unstarted
8,Verona,Atalanta,14500075,unstarted
8,Lecce,Juventus,14500076,unstarted
8,Udinese,AC Milan,14500077,unstarted
8,Cagliari,Inter,14500078,unstarted
8,Empoli,Venezia,14500079,unstarted
8,Parma,Como,14500080,unstarted
9,Napoli,Torino,14500081,unstarted
9,Genoa,Fiorentina,14500082,unstarted
9,Monza,Lazio,14500083,unstarted
9,Verona,AS Roma,14500084,unstarted
9,Lecce,Bologna,14500085,unstarted
9,Udinese,Atalanta,14500086,unstarted
9,Cagliari,Juventus,14500087,unstarted
9,Empoli,AC Milan,14500088,unstarted
9,Parma,Inter,14500089,unstarted
9,Como,Venezia,14500090,unstarted
10,Genoa,Napoli,14500091,unstarted
10,Monza,Torino,14500092,unstarted
10,Verona,Fiorentina,14500093,unstarted
10,Lecce,Lazio,14500094,unstarted
10,Udinese,AS Roma,14500095,unstarted
10,Cagliari,Bologna,14500096,unstarted
10,Empoli,Atalanta,14500097,unstarted
10,Parma,Juventus,14500098,unstarted
10,Como,AC Milan,14500099,unstarted
10,Venezia,Inter,14500100,unstarted
11,Monza,Genoa,14500101,unstarted
11,Verona,Napoli,14500102,unstarted
11,Lecce,Torino,14500103,unstarted
11,Udinese,Fiorentina,14500104,unstarted
11,Cagliari,Lazio,14500105,unstarted
11,Empoli,AS Roma,14500106,unstarted
11,Parma,Bologna,14500107,unstarted
11,Como,Atalanta,14500108,unstarted
11,Venezia,Juventus,14500109,unstarted
11,Inter,AC Milan,14500110,unstarted
12,Verona,Monza,14500111,unstarted
12,Lecce,Genoa,14500112,unstarted
12,Udinese,Napoli,14500113,unstarted
12,Cagliari,Torino,14500114,unstarted
12,Empoli,Fiorentina,14500115,unstarted
12,Parma,Lazio,14500116,unstarted
12,Como,AS Roma,14500117,unstarted
12,Venezia,Bologna,14500118,unstarted
