Anno,Giornata,Squadra_Casa,Squadra_Trasferta,Gol_Casa,Gol_Trasferta,ID_Partita
2025,1,Inter,Torino,5,0,13981421
2025,1,Genoa,Lecce,0,0,13981422
2025,1,Como,Lazio,2,0,13981423
2025,1,Juventus,Parma,2,0,13981424
2025,1,Cagliari,Fiorentina,1,1,13981425
2025,1,AS Roma,Bologna,1,0,13981428
2025,1,Sassuolo,SSC Napoli,0,2,13981431
2025,1,Udinese,Hellas Verona,1,1,13981438
2025,1,AC Milan,Cremonese,1,2,13981439
2025,1,Atalanta,Pisa,1,1,13981444
2025,2,Parma,Atalanta,1,1,13981426
2025,2,Torino,Fiorentina,0,0,13981429
2025,2,Inter,Udinese,1,2,13981432
2025,2,Bologna,Como,1,0,13981433
2025,2,SSC Napoli,Cagliari,1,0,13981436
2025,2,Pisa,AS Roma,0,1,13981441
2025,2,Cremonese,Sassuolo,3,2,13981443
2025,2,Lazio,Hellas Verona,4,0,13981446
2025,2,Lecce,AC Milan,0,2,13981447
2025,2,Genoa,Juventus,0,1,13981448
2025,3,Cagliari,Parma,2,0,13981427
2025,3,Como,Genoa,1,1,13981430
2025,3,AS Roma,Torino,0,1,13981434
2025,3,Juventus,Inter,4,3,13981435
2025,3,AC Milan,Bologna,1,0,13981437
2025,3,Fiorentina,SSC Napoli,1,3,13981442
2025,3,Pisa,Udinese,0,1,13981445
2025,3,Sassuolo,Lazio,1,0,13981449
2025,3,Atalanta,Lecce,4,1,13981450
2025,3,Hellas Verona,Cremonese,0,0,13981451
2025,4,Hellas Verona,Juventus,1,1,13981452
2025,4,Udinese,AC Milan,0,3,13981453
2025,4,Torino,Atalanta,0,3,13981454
2025,4,Lecce,Cagliari,1,2,13981455
2025,4,Inter,Sassuolo,2,1,13981456
2025,4,Lazio,AS Roma,0,1,13981457
2025,4,SSC Napoli,Pisa,3,2,13981458
2025,4,Bologna,Genoa,2,1,13981460
2025,4,Fiorentina,Como,1,2,13981461
2025,4,Cremonese,Parma,0,0,13981463
2025,5,Cagliari,Inter,0,2,13981459
2025,5,Como,Cremonese,1,1,13981462
2025,5,Genoa,Lazio,0,3,13981464
2025,5,Juventus,Atalanta,1,1,13981465
2025,5,Parma,Torino,2,1,13981466
2025,5,Pisa,Fiorentina,0,0,13981467
2025,5,Lecce,Bologna,2,2,13981468
2025,5,AS Roma,Hellas Verona,2,0,13981469
2025,5,AC Milan,SSC Napoli,2,1,13981472
2025,5,Sassuolo,Udinese,3,1,13981476
2025,6,Bologna,Pisa,4,0,13981470
2025,6,Juventus,AC Milan,0,0,13981471
2025,6,Lazio,Torino,3,3,13981473
2025,6,SSC Napoli,Genoa,2,1,13981474
2025,6,Inter,Cremonese,4,1,13981475
2025,6,Udinese,Cagliari,1,1,13981477
2025,6,Fiorentina,AS Roma,1,2,13981478
2025,6,Parma,Lecce,0,1,13981480
2025,6,Hellas Verona,Sassuolo,0,1,13981481
2025,6,Atalanta,Como,1,1,13981483
