teamName,teamId,goalsScored,goalsConceded,ownGoals,assists,shots,penaltyGoals,penaltiesTaken,freeKickGoals,freeKickShots,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,bigChances,bigChancesCreated,bigChancesMissed,shotsOnTarget,shotsOffTarget,blockedScoringAttempt,successfulDribbles,dribbleAttempts,corners,hitWoodwork,fastBreaks,fastBreakGoals,fastBreakShots,averageBallPossession,totalPasses,accuratePasses,accuratePassesPercentage,totalOwnHalfPasses,accurateOwnHalfPasses,accurateOwnHalfPassesPercentage,totalOppositionHalfPasses,accurateOppositionHalfPasses,accurateOppositionHalfPassesPercentage,totalLongBalls,accurateLongBalls,accurateLongBallsPercentage,totalCrosses,accurateCrosses,accurateCrossesPercentage,cleanSheets,tackles,interceptions,saves,errorsLeadingToGoal,errorsLeadingToShot,penaltiesCommited,penaltyGoalsConceded,clearances,clearancesOffLine,lastManTackles,totalDuels,duelsWon,duelsWonPercentage,totalGroundDuels,groundDuelsWon,groundDuelsWonPercentage,totalAerialDuels,aerialDuelsWon,aerialDuelsWonPercentage,possessionLost,offsides,fouls,yellowCards,yellowRedCards,redCards,avgRating,accurateFinalThirdPassesAgainst,accurateOppositionHalfPassesAgainst,accurateOwnHalfPassesAgainst,accuratePassesAgainst,bigChancesAgainst,bigChancesCreatedAgainst,bigChancesMissedAgainst,clearancesAgainst,cornersAgainst,crossesSuccessfulAgainst,crossesTotalAgainst,dribbleAttemptsTotalAgainst,dribbleAttemptsWonAgainst,errorsLeadingToGoalAgainst,errorsLeadingToShotAgainst,hitWoodworkAgainst,interceptionsAgainst,keyPassesAgainst,longBallsSuccessfulAgainst,longBallsTotalAgainst,offsidesAgainst,redCardsAgainst,shotsAgainst,shotsBlockedAgainst,shotsFromInsideTheBoxAgainst,shotsFromOutsideTheBoxAgainst,shotsOffTargetAgainst,shotsOnTargetAgainst,blockedScoringAttemptAgainst,tacklesAgainst,totalFinalThirdPassesAgainst,oppositionHalfPassesTotalAgainst,ownHalfPassesTotalAgainst,totalPassesAgainst,yellowCardsAgainst,throwIns,goalKicks,ballRecovery,freeKicks,kilometersCovered,numberOfSprints,id,matches,awardedMatches,statisticsType
Parma,2690,28,46,1,17,407,2,2,0,14,23,3,227,180,9,7,10,55,39,37,104,168,135,199,435,146,10,20,1,19,44,13742,11089,80.694222092854,6752,6078,90.017772511848,6990,5011,71.688125894134,1202,563,46.838602329451,640,143,22.34375,13,530,260,115,6,15,6,5,949,4,8,3501,1753,50.071408169095,2393,1198,50.062682824906,1108,555,50.090252707581,4543,50,413,63,4,5,6.754465849387,4453,9012,6174,15186,91,68,63,938,189,226,881,576,285,4,18,20,263,407,791,1689,80,8,538,153,350,188,221,164,153,542,5688,10912,6831,17743,68,679,339,1575,483,3226.86,4419,49360,38,0,"{'sportSlug': 'football', 'statisticsType': 'team'}"
Atalanta,2686,51,36,1,33,562,3,3,0,8,44,6,372,190,7,17,25,93,69,67,175,224,163,290,593,215,16,54,4,51,55.131578947368,18770,15921,84.821523708045,8487,7750,91.31613055261,10283,8171,79.461246717884,1298,725,55.855161787365,713,180,25.245441795231,13,594,319,118,6,11,4,2,809,1,6,3591,1776,49.456975772765,2477,1236,49.899071457408,1114,540,48.473967684022,4798,73,450,59,1,2,6.8821247892074,2791,5887,6695,12582,84,61,62,988,158,165,593,548,241,9,18,10,336,339,857,1960,57,2,447,115,284,163,180,152,115,594,4125,8049,7368,15417,53,699,274,1868,365,3330.01,5123,49357,38,0,"{'sportSlug': 'football', 'statisticsType': 'team'}"
Como,2704,65,29,0,47,549,5,8,1,18,53,11,362,187,10,28,26,99,73,59,194,214,141,289,601,170,12,50,9,42,61.605263157895,20031,17515,87.439468823324,9660,9012,93.291925465839,10371,8503,81.988236428503,1046,529,50.57361376673,620,165,26.612903225806,19,624,263,88,6,16,6,5,727,4,3,3691,1861,50.419940395557,2774,1352,48.73828406633,917,509,55.507088331516,4413,43,510,80,1,3,6.91875,1774,3790,5965,9755,69,50,50,780,122,117,466,558,282,12,22,4,345,235,739,1821,101,6,341,96,221,120,127,118,96,667,2966,5675,6681,12356,83,700,199,1756,449,2964.62,5025,49329,38,0,"{'sportSlug': 'football', 'statisticsType': 'team'}"
AS Roma,2702,59,31,0,41,503,5,7,0,19,55,4,370,133,12,15,32,83,62,44,178,188,137,215,552,196,11,42,7,37,56.289473684211,18543,15544,83.826780995524,8090,7386,91.297898640297,10453,8158,78.044580503205,1344,646,48.065476190476,696,170,24.425287356322,18,574,357,107,3,18,1,1,825,2,10,3931,1898,48.282879674383,2723,1280,47.006977598237,1208,618,51.158940397351,5034,64,523,67,1,3,6.8744027303754,2210,4656,6713,11369,67,51,48,933,132,101,482,510,249,9,18,15,353,270,778,2035,60,5,370,88,220,150,146,138,86,698,3560,6906,7619,14525,79,763,240,1867,506,3269.48,4769,49107,38,0,"{'sportSlug': 'football', 'statisticsType': 'team'}"
Cagliari,2719,40,53,0,30,415,2,2,0,15,36,4,255,160,12,8,20,68,49,38,132,174,109,235,485,144,8,43,6,38,45.578947368421,14980,12180,81.308411214953,8261,7439,90.049630795303,6719,4741,70.561095401101,1217,552,45.357436318817,545,139,25.504587155963,8,611,328,122,6,22,2,2,959,3,4,3626,1803,49.724214009928,2664,1363,51.163663663664,962,440,45.738045738046,4586,61,524,79,2,2,6.7489726027397,3545,7914,7390,15304,90,69,57,773,196,171,674,596,278,3,13,12,284,375,845,1765,51,4,491,140,329,162,175,176,140,539,5039,10141,7933,18074,61,677,338,1645,531,3281.11,4774,49333,38,0,"{'sportSlug': 'football', 'statisticsType': 'team'}"
Lecce,2689,28,50,1,20,373,1,2,2,20,23,5,216,157,8,6,13,51,39,33,97,157,119,235,563,163,9,34,3,32,41.605263157895,12204,9154,75.008194034743,4981,4339,87.111021883156,7223,4815,66.662051779039,1297,566,43.639167309175,648,150,23.148148148148,10,675,263,110,5,22,6,4,1125,3,7,4164,2030,48.751200768492,2808,1382,49.216524216524,1356,648,47.787610619469,5157,46,480,69,0,2,6.7139175257732,3115,6307,8275,14582,103,76,68,872,203,166,701,632,286,6,13,15,277,361,838,1959,92,1,484,130,351,133,192,162,130,700,4527,8573,9120,17693,62,801,334,1683,493,3433.65,5408,49072,38,0,"{'sportSlug': 'football', 'statisticsType': 'team'}"
Hellas Verona,2701,25,61,4,15,422,3,3,0,12,18,6,236,186,1,10,13,49,35,37,141,163,118,226,464,150,10,55,8,48,40.131578947368,12522,9428,75.29148698291,5331,4657,87.356968673795,7191,4771,66.34682241691,1260,483,38.333333333333,593,144,24.283305227656,6,715,388,99,8,9,5,2,1111,8,8,4030,1947,48.312655086849,2582,1264,48.954298993029,1448,683,47.168508287293,5012,63,599,86,3,5,6.6517948717949,3331,7937,7997,15934,85,58,48,963,193,156,693,602,253,6,18,14,275,353,965,2023,50,1,513,162,304,209,193,160,160,519,4773,10267,8800,19067,58,681,296,1763,337,3370.24,5230,49428,38,0,"{'sportSlug': 'football', 'statisticsType': 'team'}"
Sassuolo,2793,46,50,2,35,405,2,4,1,19,40,5,266,139,4,18,22,77,58,47,142,161,102,215,487,143,12,47,8,39,46.131578947368,15255,12670,83.054736152081,7543,6877,91.170621768527,7712,5793,75.116701244813,1138,547,48.066783831283,451,129,28.60310421286,8,518,313,134,6,21,6,5,962,6,3,3352,1623,48.418854415274,2417,1179,48.779478692594,935,444,47.486631016043,4330,66,455,83,1,4,6.7687179487179,3876,7917,7163,15080,94,69,60,705,186,180,792,500,224,4,21,10,234,414,842,1752,53,3,548,129,348,200,231,188,129,599,5214,9969,7766,17735,73,587,317,1702,462,3458.3,5162,49069,38,0,"{'sportSlug': 'football', 'statisticsType': 'team'}"
Genoa,2713,41,51,2,21,435,5,9,2,25,33,8,270,165,4,22,14,73,48,46,143,176,116,219,507,140,7,14,0,14,48.710526315789,14717,11854,80.546306991914,7722,6961,90.14504014504,6995,4893,69.949964260186,1299,575,44.264819091609,642,169,26.323987538941,9,659,274,111,8,8,7,7,968,2,6,4002,2042,51.024487756122,2650,1399,52.792452830189,1352,643,47.559171597633,4870,50,470,62,1,3,6.7655821917808,3118,6260,6405,12665,73,46,40,888,185,196,668,509,212,4,14,17,304,358,871,1955,59,6,486,151,333,153,173,162,151,612,4433,8399,7220,15619,90,728,279,1598,537,3279.32,4747,49071,38,0,"{'sportSlug': 'football', 'statisticsType': 'team'}"
Torino,2696,44,63,0,25,449,5,7,0,9,36,6,279,170,10,6,26,78,51,50,151,170,128,209,441,146,8,58,9,50,44.131578947368,14259,11404,79.977558033523,6891,6154,89.304890436802,7368,5250,71.254071661238,1397,676,48.389405869721,662,162,24.471299093656,12,610,309,106,13,12,4,4,1008,2,7,3639,1784,49.02445726848,2419,1184,48.945845390657,1220,600,49.180327868852,4676,63,530,72,0,1,6.7406040268456,3454,7738,7875,15613,90,72,47,917,178,162,666,513,241,5,16,6,273,411,958,1949,45,0,527,155,342,185,200,172,155,513,4843,9937,8556,18493,54,644,313,1633,377,3331.18,5197,49438,38,0,"{'sportSlug': 'football', 'statisticsType': 'team'}"
